name,unit,update_frequency,meter_category_id,image_file_id,demo,location_id,asset_id
Monitoring Appliance CPU Usage - HN-01,%,5,,,FALSE,1,1
Router CPU Usage - HN-01,%,3,,,FALSE,2,2
VMS Storage Utilization - HN-01,%,10,,,FALSE,3,3
Server Temperature - HN-01,Celsius,7,,,FALSE,4,4
Storage Latency - HN-01,ms,5,,,FALSE,5,5
Switch Port Error Rate - HN-01,Errors/sec,2,,,FALSE,6,6
Access Control Events - HN-01,Events/day,2,,,FALSE,7,7
Video Recorder Disk Health - HN-01,%,15,,,FALSE,8,8
UPS Battery Charge - HN-01,%,5,,,FALSE,9,9
ATS Transfer Count - HN-01,Transfers/month,30,,,FALSE,10,10
Cooling Supply Air Temperature - HN-01,Celsius,10,,,FALSE,11,11
Generator Fuel Level - HN-01,%,30,,,FALSE,12,12
Visitor Kiosk Uptime - HN-01,Hours,15,,,FALSE,13,13
Camera Uptime - HN-01,Hours,10,,,FALSE,14,14
Backhaul Signal Strength - HN-01,dBm,2,,,FALSE,15,15
Optical Link Loss - HN-01,dB,15,,,FALSE,16,16
Edge Switch Utilization - HN-01,%,3,,,FALSE,17,17
5G Sector Throughput - HN-01,Mbps,2,,,FALSE,18,18
Baseband CPU Load - HN-01,%,2,,,FALSE,19,19
RRU VSWR - HN-01,ratio,5,,,FALSE,20,20
Gateway Packet Count - HN-01,Packets/min,10,,,FALSE,21,21
Wireless Client Count - HN-01,Clients,5,,,FALSE,22,22
AP Channel Utilization - HN-01,%,5,,,FALSE,23,23
GPU Usage - HN-01,%,1,,,FALSE,24,24
Packet Capture Buffer Usage - HN-01,%,10,,,FALSE,25,25
Monitoring Appliance CPU Usage - HN-02,%,5,,,FALSE,26,26
Router CPU Usage - HN-02,%,3,,,FALSE,27,27
VMS Storage Utilization - HN-02,%,10,,,FALSE,28,28
Server Temperature - HN-02,Celsius,7,,,FALSE,29,29
Storage Latency - HN-02,ms,5,,,FALSE,30,30
Switch Port Error Rate - HN-02,Errors/sec,2,,,FALSE,31,31
Access Control Events - HN-02,Events/day,2,,,FALSE,32,32
Video Recorder Disk Health - HN-02,%,15,,,FALSE,33,33
UPS Battery Charge - HN-02,%,5,,,FALSE,34,34
ATS Transfer Count - HN-02,Transfers/month,30,,,FALSE,35,35
Cooling Supply Air Temperature - HN-02,Celsius,10,,,FALSE,36,36
Generator Fuel Level - HN-02,%,30,,,FALSE,37,37
Visitor Kiosk Uptime - HN-02,Hours,15,,,FALSE,38,38
Camera Uptime - HN-02,Hours,10,,,FALSE,39,39
Backhaul Signal Strength - HN-02,dBm,2,,,FALSE,40,40
Optical Link Loss - HN-02,dB,15,,,FALSE,41,41
Edge Switch Utilization - HN-02,%,3,,,FALSE,42,42
5G Sector Throughput - HN-02,Mbps,2,,,FALSE,43,43
Baseband CPU Load - HN-02,%,2,,,FALSE,44,44
RRU VSWR - HN-02,ratio,5,,,FALSE,45,45
Gateway Packet Count - HN-02,Packets/min,10,,,FALSE,46,46
Wireless Client Count - HN-02,Clients,5,,,FALSE,47,47
AP Channel Utilization - HN-02,%,5,,,FALSE,48,48
GPU Usage - HN-02,%,1,,,FALSE,49,49
Packet Capture Buffer Usage - HN-02,%,10,,,FALSE,50,50
Monitoring Appliance CPU Usage - HCM-03,%,5,,,FALSE,51,51
Router CPU Usage - HCM-03,%,3,,,FALSE,52,52
VMS Storage Utilization - HCM-03,%,10,,,FALSE,53,53
Server Temperature - HCM-03,Celsius,7,,,FALSE,54,54
Storage Latency - HCM-03,ms,5,,,FALSE,55,55
Switch Port Error Rate - HCM-03,Errors/sec,2,,,FALSE,56,56
Access Control Events - HCM-03,Events/day,2,,,FALSE,57,57
Video Recorder Disk Health - HCM-03,%,15,,,FALSE,58,58
UPS Battery Charge - HCM-03,%,5,,,FALSE,59,59
