name,address,parent_location,vendors,contractors
Infrastructure Site - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",,"Corning, Juniper, Cisco",
Network Operations Center (NOC) - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Hikvision, Fortinet, Dell",
Security Operations Center (SOC) - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Corning, NVIDIA, Ericsson",Mekong Telecom Services
Server Room A - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Cisco, Fortinet, Juniper",VN Facilities Services
Server Room B - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Ericsson, Hikvision, NVIDIA",
Network Closet - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Ericsson, Schneider Electric, Hikvision",
Access Control Room - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Paxton, Aruba, Cisco",
Video Surveillance Room - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Dell, NVIDIA, Schneider Electric",HaNoi Cooling Services
UPS Room - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Hikvision, Aruba, APC",Mekong Telecom Services
Electrical Room - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Juniper, APC, Aruba",
HVAC Plant - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Aruba, Cisco, NVIDIA",
Generator Yard - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Juniper, Schneider Electric, Fortinet",
Reception - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Fortinet, Corning, Nokia",
Loading Bay - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"APC, Nokia, Hikvision",
Roof - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Cisco, Corning, Hikvision",
IDF Room 1 - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Office Floor 1 - HN-01,"Juniper, Hikvision, Fortinet",
IDF Room 2 - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Office Floor 2 - HN-01,"Vertiv, Corning, APC",Red River Power Co.
Telecom Mast - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Roof - HN-01,"Hikvision, Corning, Paxton",
Base Station - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Telecom Mast - HN-01,"Corning, Fortinet, Juniper",
Antenna Array - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Telecom Mast - HN-01,"Dell, Ericsson, NVIDIA",Danang Engineering Works
Storage Room - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Schneider Electric, Paxton, Corning",
Office Floor 1 - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Hikvision, Corning, APC",
Office Floor 2 - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Aruba, Cisco, Hikvision",
Lab A - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Aruba, APC, Schneider Electric",Alpha Secure Systems
Workshop - HN-01,"107 Phạm Hùng, Cầu Giấy, Hà Nội, Vietnam",Infrastructure Site - HN-01,"Nokia, NVIDIA, APC",Danang Engineering Works
Infrastructure Site - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",,"Schneider Electric, Corning, Vertiv",HaNoi Cooling Services
Network Operations Center (NOC) - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Hikvision, NVIDIA, Ericsson",
Security Operations Center (SOC) - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"NVIDIA, Nokia, Schneider Electric",
Server Room A - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Schneider Electric, APC, Hikvision",
Server Room B - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Dell, Ericsson, Vertiv",VN Facilities Services
Network Closet - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Fortinet, Juniper, Dell",
Access Control Room - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Aruba, Corning, Schneider Electric",
Video Surveillance Room - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Schneider Electric, Fortinet, Nokia",
UPS Room - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Ericsson, Paxton, Fortinet",
Electrical Room - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Cisco, Corning, NVIDIA",Metro Cabling Partners
HVAC Plant - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Aruba, Corning, APC",Mekong Telecom Services
Generator Yard - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Dell, Vertiv, Cisco",
Reception - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"NVIDIA, Paxton, Ericsson",
Loading Bay - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Ericsson, Juniper, Corning",Alpha Secure Systems
Roof - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Dell, APC, Fortinet",
IDF Room 1 - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Office Floor 1 - HN-02,"Aruba, Ericsson, Cisco",
IDF Room 2 - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Office Floor 2 - HN-02,"Vertiv, Cisco, Juniper",
Telecom Mast - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Roof - HN-02,"Fortinet, Aruba, Paxton",Alpha Secure Systems
Base Station - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Telecom Mast - HN-02,"Nokia, Juniper, Aruba",
Antenna Array - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Telecom Mast - HN-02,"Fortinet, Juniper, Ericsson",
Storage Room - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Dell, Corning, Vertiv",
Office Floor 1 - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Dell, Paxton, Ericsson",
Office Floor 2 - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"Schneider Electric, Hikvision, Ericsson",
Lab A - HN-02,"114 Nguyễn Văn Linh, Long Biên, Hà Nội, Vietnam",Infrastructure Site - HN-02,"NVIDIA, Hikvision, Fortinet",Red River Power Co.
