ID,Status,Name,Description,Area,Parent Asset,Location Name,Barcode,Category,Assigned To,Warranty Expiry Date,Additional Info,Serial Number,Teams names,Associated Parts,Vendor,Contractor
1,DOWN,Monitoring-System-HN-01,SolarWinds Hybrid Cloud Observability Appliance,North,,Infrastructure Site - HN-01,MON-HN01,Network Equipment,Network Engineer,2029-11-23,Central site monitoring appliance,MONHN0117367,Network Operations,"Power Supplies, SSDs",SolarWinds,
2,MAINTENANCE,Core-Router-HN-01,Cisco ASR 9904 Core Router,North,,Network Operations Center (NOC) - HN-01,RTR-HN01,Network Equipment,Network Engineer,2029-11-21,Core network routing platform,RTRHN0118600,Network Operations,"Line Cards, Power Supplies",Cisco,Mekong Telecom Services
3,MAINTENANCE,Security-VMS-Server-HN-01,Milestone Husky IVO 350R Video Management Server,North,,Security Operations Center (SOC) - HN-01,VMS-HN01,Security,Security Officer,2027-10-05,Video management and recording server,VMSHN0178719,Security Operations,"RAID Drives, PSUs",Milestone,
4,OPERATIONAL,Virtualization-Host-HN-01,Dell PowerEdge R750 Virtualization Host,North,,Server Room A - HN-01,SRV-HN01,Servers,System Administrator,2027-03-01,Virtualization compute cluster node,SRVHN0136309,Server Operations,"RAM, NVMe Drives",Dell,
5,OPERATIONAL,Storage-Array-HN-01,NetApp AFF A250 Storage Array,North,,Server Room B - HN-01,SAN-HN01,Storage,Storage Administrator,2027-04-29,Shared storage array for critical workloads,SANHN0169827,Server Operations,"SSDs, Controllers",NetApp,
6,DOWN,Access-Switch-HN-01,Juniper EX4300 Access Switch,North,,Network Closet - HN-01,SW-HN01,Network Equipment,Network Engineer,2027-04-14,Access layer switch for wired users,SWHN0136097,Network Operations,"Transceivers, Fans",Juniper,
7,OPERATIONAL,Access-Control-Panel-HN-01,Paxton Net2 Plus Access Control Panel,North,,Access Control Room - HN-01,ACP-HN01,Security,Security Officer,2028-07-15,Door access control and credential management,ACPHN0170846,Security Operations,"Power Supply, Readers",Paxton,
8,OPERATIONAL,NVR-HN-01,Hikvision DS-9632NI-M8 Network Video Recorder,North,,Video Surveillance Room - HN-01,NVR-HN01,Security,Security Officer,2029-10-31,Central CCTV recording system,NVRHN0126236,Security Operations,"Hard Drives, Fans",Hikvision,
9,OPERATIONAL,UPS-HN-01,APC Smart-UPS SRT 3000VA,North,,UPS Room - HN-01,UPS-HN01,Power,Electrician,2030-10-27,Online double-conversion UPS,UPSHN0187862,Facilities,"Batteries, Fan Kits",APC,
10,OPERATIONAL,ATS-Panel-HN-01,Schneider EasyPact Automatic Transfer Switch,North,,Electrical Room - HN-01,ATS-HN01,Power,Electrician,2029-07-02,Automatic mains/generator transfer switch,ATSHN0186923,Facilities,"Breakers, Contact Kits",Schneider Electric,
11,OPERATIONAL,CRAC-Unit-HN-01,Vertiv Liebert PDX Precision Cooling Unit,North,,HVAC Plant - HN-01,CRAC-HN01,Cooling,HVAC Technician,2030-02-03,Precision cooling for IT spaces,CRACHN0131432,Facilities,"Filters, Compressor Kits",Vertiv,
12,OPERATIONAL,Generator-HN-01,Cummins C275D5 Backup Generator,North,,Generator Yard - HN-01,GEN-HN01,Power,Electrician,2028-06-13,Standby diesel generator set,GENHN0147364,Facilities,"Filters, Starter Batteries",Cummins,
13,OPERATIONAL,Visitor-Kiosk-HN-01,ZKTeco SpeedFace-V5L Visitor Kiosk,North,,Reception - HN-01,KSK-HN01,Security,Security Officer,2027-02-26,Visitor registration and facial verification terminal,KSKHN0131352,Security Operations,"Touch Panel, Camera Module",ZKTeco,
14,OPERATIONAL,Loading-Bay-Camera-HN-01,Hikvision DS-2CD2686G2 Bullet Camera,North,,Loading Bay - HN-01,CCTV-HN01,Security,Security Officer,2030-03-17,High-resolution loading dock surveillance camera,CCTVHN0138091,Security Operations,"Mounting Bracket, PoE Injector",Hikvision,
15,OPERATIONAL,Microwave-Radio-HN-01,Ceragon IP-20C Microwave Radio,North,,Roof - HN-01,MWR-HN01,Network Equipment,Field Technician,2028-03-29,Roof-top point-to-point backhaul radio,MWRHN0198826,Cellular Maintenance,"ODU Cables, Mount Kits",Ceragon,
16,OPERATIONAL,Fiber-Patch-Panel-HN-01,Corning EDGE Fiber Patch Panel,North,,IDF Room 1 - HN-01,FPP-HN01,Cabling,Cabling Technician,2028-02-28,Structured fiber distribution panel,FPPHN0163674,Infrastructure,"LC Connectors, Adapter Packs",Corning,
17,OPERATIONAL,Edge-Switch-HN-01,Cisco Catalyst 9300 Edge Switch,North,,IDF Room 2 - HN-01,ESW-HN01,Network Equipment,Network Engineer,2029-11-17,Edge switch for floor distribution,ESWHN0199417,Network Operations,"Power Supplies, SFP Modules",Cisco,
18,OPERATIONAL,5G-Antenna-HN-01,Ericsson AIR 6488 Massive MIMO Antenna,North,,Telecom Mast - HN-01,ANT-HN01,Cellular Equipment,Field Technician,2027-01-19,5G radio antenna system,ANTHN0132701,Cellular Maintenance,"Mount Kits, RF Jumpers",Ericsson,
19,MAINTENANCE,Baseband-Unit-HN-01,Nokia AirScale Baseband Unit,North,,Base Station - HN-01,BBU-HN01,Cellular Equipment,Field Technician,2030-05-16,Baseband processing for radio access network,BBUHN0189736,Cellular Maintenance,"Power Supply, Sync Modules",Nokia,
20,OPERATIONAL,Radio-Unit-HN-01,Ericsson Radio 4422 Remote Radio Unit,North,Baseband-Unit-HN-01,Antenna Array - HN-01,RRU-HN01,Cellular Equipment,Field Technician,2028-09-17,Remote radio head for sector coverage,RRUHN0146094,Cellular Maintenance,"RF Cables, Surge Protectors",Ericsson,
21,DOWN,Sensor-Gateway-HN-01,Advantech WISE-6610 IoT Gateway,North,,Storage Room - HN-01,IOT-HN01,IoT,Facilities Supervisor,2029-05-17,Environmental and utility sensor concentrator,IOTHN0155706,Facilities,"Antenna Kit, DIN Clips",Advantech,
22,OPERATIONAL,WiFi-Controller-HN-01,Cisco Catalyst 9800-L Wireless Controller,North,,Office Floor 1 - HN-01,WLC-HN01,Network Equipment,Network Engineer,2029-07-29,Centralized wireless controller,WLCHN0171171,Network Operations,"Power Supplies, SSDs",Cisco,
23,OPERATIONAL,Access-Point-HN-01,Aruba AP-515 Wireless Access Point,North,WiFi-Controller-HN-01,Office Floor 2 - HN-01,AP-HN01,Network Equipment,Network Engineer,2028-09-10,Wi-Fi 6 indoor wireless access point,APHN0191737,Network Operations,"Mounting Kit, PoE Injector",Aruba,
24,OPERATIONAL,AI-Analytics-Server-HN-01,NVIDIA DGX A100 AI Analytics Server,North,,Lab A - HN-01,AIS-HN01,Servers,AI Specialist,2029-03-24,Accelerated AI processing node,AISHN0110963,AI Operations,"GPUs, NVLink Cables",NVIDIA,
25,DOWN,Monitoring-Appliance-HN-01,Fluke OptiView XG Network Monitoring Appliance,North,,Workshop - HN-01,NMA-HN01,Network Equipment,Network Engineer,2029-11-13,Portable and fixed network diagnostics appliance,NMAHN0159051,Network Operations,"SFP Modules, SSDs",Fluke,
26,OPERATIONAL,Monitoring-System-HN-02,SolarWinds Hybrid Cloud Observability Appliance,North,,Infrastructure Site - HN-02,MON-HN02,Network Equipment,Network Engineer,2030-02-23,Central site monitoring appliance,MONHN0289829,Network Operations,"Power Supplies, SSDs",SolarWinds,
27,OPERATIONAL,Core-Router-HN-02,Cisco ASR 9904 Core Router,North,,Network Operations Center (NOC) - HN-02,RTR-HN02,Network Equipment,Network Engineer,2028-08-01,Core network routing platform,RTRHN0224169,Network Operations,"Line Cards, Power Supplies",Cisco,
28,OPERATIONAL,Security-VMS-Server-HN-02,Milestone Husky IVO 350R Video Management Server,North,,Security Operations Center (SOC) - HN-02,VMS-HN02,Security,Security Officer,2029-09-13,Video management and recording server,VMSHN0246239,Security Operations,"RAID Drives, PSUs",Milestone,
