ID,name,cost,category,is_consumable,part_number,description,last_price,asset_name,location_name,quantity,assigned_to,barcode,vendor
1,SSD Module,429.69,Network,false,SSD-OBS-HN01,Enterprise SSD for monitoring appliance,434.1,Monitoring-System-HN-01,Infrastructure Site - HN-01,27,Network Engineer,PRT-HN01-0001,SolarWinds
2,Cisco Line Card,8293.57,Network,false,LC-ASR-HN01,100G line card for ASR series router,8503.26,Core-Router-HN-01,Network Operations Center (NOC) - HN-01,12,Network Engineer,PRT-HN01-0002,Cisco
3,RAID Drive,357.43,Security,false,DRV-VMS-HN01,12TB surveillance-rated HDD,366.55,Security-VMS-Server-HN-01,Security Operations Center (SOC) - HN-01,23,Security Officer,PRT-HN01-0003,Milestone
4,Server Memory Kit,572.27,Server,false,RAM-R750-HN01,64GB DDR4 RDIMM memory kit,577.27,Virtualization-Host-HN-01,Server Room A - HN-01,14,System Administrator,PRT-HN01-0004,Dell
5,NVMe SSD,1112.31,Server,false,SSD-AFF-HN01,Enterprise NVMe SSD for storage array,1105.78,Storage-Array-HN-01,Server Room B - HN-01,1,Storage Administrator,PRT-HN01-0005,NetApp
6,Juniper Transceiver,256.97,Network,false,SFP-EX-HN01,10G SFP+ transceiver,268.76,Access-Switch-HN-01,Network Closet - HN-01,26,Network Engineer,PRT-HN01-0006,Juniper
7,Access Card,12.51,Security,true,CARD-N2-HN01,Proximity access card,12.66,Access-Control-Panel-HN-01,Access Control Room - HN-01,376,Security Officer,PRT-HN01-0007,Paxton
8,Surveillance HDD,306.3,Security,false,HDD-NVR-HN01,8TB surveillance hard drive,308.74,NVR-HN-01,Video Surveillance Room - HN-01,23,Security Officer,PRT-HN01-0008,Hikvision
9,UPS Battery Module,413.79,Power,false,BATT-SRT-HN01,Replacement battery cartridge,426.58,UPS-HN-01,UPS Room - HN-01,11,Electrician,PRT-HN01-0009,APC
10,Contactor Kit,606.55,Power,false,CTK-ATS-HN01,Replacement contactor set for ATS panel,612.31,ATS-Panel-HN-01,Electrical Room - HN-01,13,Electrician,PRT-HN01-0010,Schneider Electric
11,Air Filter Kit,101.67,Cooling,true,FLT-PDX-HN01,Precision cooling filter pack,101.61,CRAC-Unit-HN-01,HVAC Plant - HN-01,16,HVAC Technician,PRT-HN01-0011,Vertiv
12,Generator Service Kit,186.95,Power,true,SVK-GEN-HN01,"Oil, air and fuel filter service kit",194.69,Generator-HN-01,Generator Yard - HN-01,96,Electrician,PRT-HN01-0012,Cummins
13,Camera Module,134.02,Security,false,CAM-KSK-HN01,Replacement facial recognition camera,134.55,Visitor-Kiosk-HN-01,Reception - HN-01,16,Security Officer,PRT-HN01-0013,ZKTeco
14,Mounting Bracket,59.29,Security,false,MBR-CAM-HN01,Outdoor mounting bracket,59.94,Loading-Bay-Camera-HN-01,Loading Bay - HN-01,5,Security Officer,PRT-HN01-0014,Hikvision
15,Radio Mount Kit,102.95,Network,false,MKT-IP20-HN01,Microwave radio mounting kit,100.3,Microwave-Radio-HN-01,Roof - HN-01,3,Field Technician,PRT-HN01-0015,Ceragon
16,LC Connector Pack,18.75,Cabling,true,LC-CONN-HN01,Single-mode LC connector pack,19.18,Fiber-Patch-Panel-HN-01,IDF Room 1 - HN-01,276,Cabling Technician,PRT-HN01-0016,Corning
17,Power Supply Module,350.99,Network,false,PSU-C93-HN01,Replacement switch power supply,364.6,Edge-Switch-HN-01,IDF Room 2 - HN-01,38,Network Engineer,PRT-HN01-0017,Cisco
18,RF Jumper Cable,84.22,Cellular,true,RFC-AIR-HN01,Low-loss RF jumper cable,81.93,5G-Antenna-HN-01,Telecom Mast - HN-01,100,Field Technician,PRT-HN01-0018,Ericsson
19,Timing Module,812.95,Cellular,false,TIM-BBU-HN01,Synchronization module for BBU,825.56,Baseband-Unit-HN-01,Base Station - HN-01,16,Field Technician,PRT-HN01-0019,Nokia
20,Surge Protector,66.22,Cellular,true,SPD-RRU-HN01,Outdoor RF surge protector,66.1,Radio-Unit-HN-01,Antenna Array - HN-01,155,Field Technician,PRT-HN01-0020,Ericsson
21,Antenna Kit,50.04,Facilities,false,ANT-IOT-HN01,LTE antenna kit for gateway,51.04,Sensor-Gateway-HN-01,Storage Room - HN-01,13,Facilities Supervisor,PRT-HN01-0021,Advantech
22,Controller SSD,298.39,Network,false,SSD-WLC-HN01,SSD for wireless controller,291.0,WiFi-Controller-HN-01,Office Floor 1 - HN-01,10,Network Engineer,PRT-HN01-0022,Cisco
23,PoE Injector,74.07,Network,false,POE-AP-HN01,802.3at PoE injector,75.21,Access-Point-HN-01,Office Floor 2 - HN-01,30,Network Engineer,PRT-HN01-0023,Aruba
24,GPU Accelerator,12144.84,Server,false,GPU-A100-HN01,NVIDIA A100 Tensor Core GPU,11875.45,AI-Analytics-Server-HN-01,Lab A - HN-01,8,AI Specialist,PRT-HN01-0024,NVIDIA
25,Capture SSD,482.8,Network,false,SSD-NMA-HN01,High-write SSD for packet capture,479.88,Monitoring-Appliance-HN-01,Workshop - HN-01,14,Network Engineer,PRT-HN01-0025,Fluke
26,SSD Module,485.73,Network,false,SSD-OBS-HN02,Enterprise SSD for monitoring appliance,486.78,Monitoring-System-HN-02,Infrastructure Site - HN-02,8,Network Engineer,PRT-HN02-0026,SolarWinds
27,Cisco Line Card,8706.09,Network,false,LC-ASR-HN02,100G line card for ASR series router,8655.14,Core-Router-HN-02,Network Operations Center (NOC) - HN-02,55,Network Engineer,PRT-HN02-0027,Cisco
28,RAID Drive,380.93,Security,false,DRV-VMS-HN02,12TB surveillance-rated HDD,389.97,Security-VMS-Server-HN-02,Security Operations Center (SOC) - HN-02,18,Security Officer,PRT-HN02-0028,Milestone
29,Server Memory Kit,655.0,Server,false,RAM-R750-HN02,64GB DDR4 RDIMM memory kit,682.86,Virtualization-Host-HN-02,Server Room A - HN-02,30,System Administrator,PRT-HN02-0029,Dell
30,NVMe SSD,1132.89,Server,false,SSD-AFF-HN02,Enterprise NVMe SSD for storage array,1161.01,Storage-Array-HN-02,Server Room B - HN-02,5,Storage Administrator,PRT-HN02-0030,NetApp
31,Juniper Transceiver,245.61,Network,false,SFP-EX-HN02,10G SFP+ transceiver,243.28,Access-Switch-HN-02,Network Closet - HN-02,42,Network Engineer,PRT-HN02-0031,Juniper
32,Access Card,11.93,Security,true,CARD-N2-HN02,Proximity access card,12.11,Access-Control-Panel-HN-02,Access Control Room - HN-02,233,Security Officer,PRT-HN02-0032,Paxton
33,Surveillance HDD,274.97,Security,false,HDD-NVR-HN02,8TB surveillance hard drive,285.47,NVR-HN-02,Video Surveillance Room - HN-02,24,Security Officer,PRT-HN02-0033,Hikvision
34,UPS Battery Module,446.92,Power,false,BATT-SRT-HN02,Replacement battery cartridge,448.06,UPS-HN-02,UPS Room - HN-02,12,Electrician,PRT-HN02-0034,APC
35,Contactor Kit,652.28,Power,false,CTK-ATS-HN02,Replacement contactor set for ATS panel,675.97,ATS-Panel-HN-02,Electrical Room - HN-02,25,Electrician,PRT-HN02-0035,Schneider Electric
36,Air Filter Kit,101.62,Cooling,true,FLT-PDX-HN02,Precision cooling filter pack,100.34,CRAC-Unit-HN-02,HVAC Plant - HN-02,64,HVAC Technician,PRT-HN02-0036,Vertiv
37,Generator Service Kit,180.96,Power,true,SVK-GEN-HN02,"Oil, air and fuel filter service kit",185.66,Generator-HN-02,Generator Yard - HN-02,67,Electrician,PRT-HN02-0037,Cummins
38,Camera Module,139.44,Security,false,CAM-KSK-HN02,Replacement facial recognition camera,139.36,Visitor-Kiosk-HN-02,Reception - HN-02,10,Security Officer,PRT-HN02-0038,ZKTeco
39,Mounting Bracket,56.22,Security,false,MBR-CAM-HN02,Outdoor mounting bracket,57.69,Loading-Bay-Camera-HN-02,Loading Bay - HN-02,29,Security Officer,PRT-HN02-0039,Hikvision
40,Radio Mount Kit,102.79,Network,false,MKT-IP20-HN02,Microwave radio mounting kit,106.47,Microwave-Radio-HN-02,Roof - HN-02,8,Field Technician,PRT-HN02-0040,Ceragon
41,LC Connector Pack,18.93,Cabling,true,LC-CONN-HN02,Single-mode LC connector pack,19.79,Fiber-Patch-Panel-HN-02,IDF Room 1 - HN-02,251,Cabling Technician,PRT-HN02-0041,Corning
42,Power Supply Module,346.23,Network,false,PSU-C93-HN02,Replacement switch power supply,337.68,Edge-Switch-HN-02,IDF Room 2 - HN-02,30,Network Engineer,PRT-HN02-0042,Cisco
43,RF Jumper Cable,86.77,Cellular,true,RFC-AIR-HN02,Low-loss RF jumper cable,89.66,5G-Antenna-HN-02,Telecom Mast - HN-02,79,Field Technician,PRT-HN02-0043,Ericsson
