title,status,priority,description,due_date,estimated_duration,asset_id,total_cost,created_at,updated_at,requires_signature,category,location_name,team_name,primary_user,assigned_to,asset_name,completed_by,completed_on,archived,feedback,contractors,date_created
Calibrate monitoring thresholds - Monitoring-System-HN-01,DONE,HIGH,"Calibrate monitoring thresholds for SolarWinds Hybrid Cloud Observability Appliance installed at Infrastructure Site - HN-01. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-06-11,2.0,1,150.0,2025-05-27 16:20:00,2025-05-30 18:20:00,true,Calibration,Infrastructure Site - HN-01,Network Operations,Network Engineer,,Monitoring-System-HN-01,Minh Tran,2025-05-30 18:20:00,false,Task completed successfully. Asset is operating within expected thresholds.,,2025-05-27 16:20:00
Quarterly preventive maintenance on core router - Core-Router-HN-01,DONE,HIGH,"Quarterly preventive maintenance on core router for Cisco ASR 9904 Core Router installed at Network Operations Center (NOC) - HN-01. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-12-17,4.0,2,350.0,2025-12-10 14:19:00,2025-12-11 16:19:00,false,Network Maintenance,Network Operations Center (NOC) - HN-01,Network Operations,Network Engineer,,Core-Router-HN-01,Quoc Pham,2025-12-11 16:19:00,false,Maintenance completed successfully. Router performance and routing tables are stable.,,2025-12-10 14:19:00
Review VMS storage health and recording retention - Security-VMS-Server-HN-01,IN_PROGRESS,MEDIUM,"Review vms storage health and recording retention for Milestone Husky IVO 350R Video Management Server installed at Security Operations Center (SOC) - HN-01. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-09-02,6.0,3,600.0,2025-06-26 07:39:00,2025-06-26 11:39:00,false,Security Maintenance,Security Operations Center (SOC) - HN-01,Security Operations,Security Officer,,Security-VMS-Server-HN-01,,,false,,,2025-06-26 07:39:00
Patch hypervisor host and validate cluster health - Virtualization-Host-HN-01,OPEN,LOW,"Patch hypervisor host and validate cluster health for Dell PowerEdge R750 Virtualization Host installed at Server Room A - HN-01. Assigned owner: System Administrator. Include functional checks, log review, and required remedial actions if deviations are found.",2025-04-06,1.0,4,112.5,2025-02-03 08:34:00,2025-02-03 13:34:00,false,Server Maintenance,Server Room A - HN-01,Server Operations,System Administrator,,Virtualization-Host-HN-01,,,false,,,2025-02-03 08:34:00
Inspect storage array alerts and firmware status - Storage-Array-HN-01,DONE,HIGH,"Inspect storage array alerts and firmware status for NetApp AFF A250 Storage Array installed at Server Room B - HN-01. Assigned owner: Storage Administrator. Include functional checks, log review, and required remedial actions if deviations are found.",2025-04-06,3.0,5,375.0,2025-03-17 06:57:00,2025-03-23 12:57:00,false,Server Maintenance,Server Room B - HN-01,Server Operations,Storage Administrator,,Storage-Array-HN-01,Nhat Le,2025-03-23 12:57:00,true,Inspection completed and no critical issues were found.,,2025-03-17 06:57:00
Validate switch port configuration and error counters - Access-Switch-HN-01,DONE,LOW,"Validate switch port configuration and error counters for Juniper EX4300 Access Switch installed at Network Closet - HN-01. Assigned owner: Network Engineer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-10-19,3.0,6,412.5,2025-10-01 21:32:00,2025-10-19 21:32:00,false,Network Maintenance,Network Closet - HN-01,Network Operations,Network Engineer,,Access-Switch-HN-01,Anh Hoang,2025-10-19 21:32:00,false,Task completed successfully. Asset is operating within expected thresholds.,,2025-10-01 21:32:00
Update access control firmware and credential sync - Access-Control-Panel-HN-01,OPEN,URGENT,"Update access control firmware and credential sync for Paxton Net2 Plus Access Control Panel installed at Access Control Room - HN-01. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-08-20,1.0,7,150.0,2025-05-30 02:42:00,2025-05-30 10:42:00,true,Security Maintenance,Access Control Room - HN-01,Security Operations,Security Officer,,Access-Control-Panel-HN-01,,,false,,,2025-05-30 02:42:00
Inspect NVR recording capacity and camera retention - NVR-HN-01,DONE,MEDIUM,"Inspect nvr recording capacity and camera retention for Hikvision DS-9632NI-M8 Network Video Recorder installed at Video Surveillance Room - HN-01. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-06-22,2.0,8,325.0,2025-05-25 02:59:00,2025-06-06 09:59:00,false,Security Maintenance,Video Surveillance Room - HN-01,Security Operations,Security Officer,,NVR-HN-01,Ha Tran,2025-06-06 09:59:00,true,Corrective action implemented and follow-up checks were satisfactory.,,2025-05-25 02:59:00
Perform UPS battery health check and load test - UPS-HN-01,DONE,MEDIUM,"Perform ups battery health check and load test for APC Smart-UPS SRT 3000VA installed at UPS Room - HN-01. Assigned owner: Electrician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-05-03,8.0,9,600.0,2025-04-07 08:21:00,2025-04-19 13:21:00,false,Power Maintenance,UPS Room - HN-01,Facilities,Electrician,,UPS-HN-01,Phong Pham,2025-04-19 13:21:00,false,UPS battery strings passed the load test and runtime remained within target.,,2025-04-07 08:21:00
Test ATS failover sequence - ATS-Panel-HN-01,DONE,MEDIUM,"Test ats failover sequence for Schneider EasyPact Automatic Transfer Switch installed at Electrical Room - HN-01. Assigned owner: Electrician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-08-18,8.0,10,700.0,2025-08-09 14:54:00,2025-08-18 14:54:00,false,Power Maintenance,Electrical Room - HN-01,Facilities,Electrician,,ATS-Panel-HN-01,Khanh Truong,2025-08-18 14:54:00,true,Task completed successfully. Asset is operating within expected thresholds.,,2025-08-09 14:54:00
Replace filters and inspect cooling performance - CRAC-Unit-HN-01,IN_PROGRESS,HIGH,"Replace filters and inspect cooling performance for Vertiv Liebert PDX Precision Cooling Unit installed at HVAC Plant - HN-01. Assigned owner: HVAC Technician. Include functional checks, log review, and required remedial actions if deviations are found.",2026-01-23,2.0,11,200.0,2026-01-18 04:59:00,2026-01-18 16:59:00,true,Preventive Maintenance,HVAC Plant - HN-01,Facilities,HVAC Technician,,CRAC-Unit-HN-01,,,false,,,2026-01-18 04:59:00
Monthly backup generator test run - Generator-HN-01,IN_PROGRESS,MEDIUM,"Monthly backup generator test run for Cummins C275D5 Backup Generator installed at Generator Yard - HN-01. Assigned owner: Electrician. Include functional checks, log review, and required remedial actions if deviations are found.",2025-06-02,3.0,12,337.5,2025-02-20 14:17:00,2025-02-21 03:17:00,false,Power Maintenance,Generator Yard - HN-01,Facilities,Electrician,,Generator-HN-01,,,false,,,2025-02-20 14:17:00
Clean and validate visitor kiosk peripherals - Visitor-Kiosk-HN-01,DONE,HIGH,"Clean and validate visitor kiosk peripherals for ZKTeco SpeedFace-V5L Visitor Kiosk installed at Reception - HN-01. Assigned owner: Security Officer. Include functional checks, log review, and required remedial actions if deviations are found.",2025-08-31,4.0,13,500.0,2025-08-05 15:57:00,2025-08-18 21:57:00,false,Preventive Maintenance,Reception - HN-01,Security Operations,Security Officer,,Visitor-Kiosk-HN-01,Long Pham,2025-08-18 21:57:00,true,Corrective action implemented and follow-up checks were satisfactory.,,2025-08-05 15:57:00
